Genre            |Average Rating        |Number of Movies
Action           |3.1585329294510713    |1175
Adventure        |3.1687090625255814    |707
Animation        |3.175885456020015     |223
Comedy           |3.137508814415478     |2111
Crime            |3.1630791523933883    |905
Documentary      |3.072852575640331     |502
Drama            |3.139602776165749     |3721
Family           |3.1569054919202837    |386
Fantasy          |3.1429135219007027    |463
Foreign          |3.113985834407914     |271
History          |3.118791045849541     |306
Horror           |3.134020262392476     |723
Music            |3.189047782134767     |248
Mystery          |3.148769392655548     |475
Romance          |3.155947294867074     |1205
Science Fiction  |3.157163683913988     |593
TV Movie         |3.148118069220997     |87
Thriller         |3.148576179568001     |1425
War              |3.1146633826061416    |231
Western          |3.2140607181871017    |185
Completed in 44.61113882064819 seconds
